intent,tweet_id,conversation_id,author_id,original_customer_message,normalized_message
Missing or Lost Package,2432778,2432778,504452,"@123967 waiting for a pod of a missing package that shows as delivered, for longer than a week. 😐 Tired and frustated.","@123967 waiting for a pod of a missing package that shows as delivered, for longer than a week. 😐 tired and frustated."
Missing or Lost Package,2907780,2907786,805126,@AmazonHelp A chat rep confirmed my package was lost in transit but then says I need to wait 72 more hours for a refund? I just want a replacement sent or refund so I can reorder the same items.,@amazonhelp a chat rep confirmed my package was lost in transit but then says i need to wait 72 more hours for a refund? i just want a replacement sent or refund so i can reorder the same items.
Missing or Lost Package,1480570,1480570,384587,How is this still ‘out for delivery’ @115830 @126705 did you get lost? https://t.co/HYVFrk1wJz,how is this still ‘out for delivery’ @115830 @126705 did you get lost? https://t.co/hyvfrk1wjz
Missing or Lost Package,62366,62368,116917,@AmazonHelp What do you need to know? That this is the second time I’ve ordered it? You lost the first one? You haven’t refunded my money from that order? That it’s guaranteed to be here by 8 and it isn’t here yet? Take your pick.,@amazonhelp what do you need to know? that this is the second time i’ve ordered it? you lost the first one? you haven’t refunded my money from that order? that it’s guaranteed to be here by 8 and it isn’t here yet? take your pick.
Missing or Lost Package,985147,985148,221863,@AmazonHelp I used online chat and tweeted a couple days ago. I have not received an email.,@amazonhelp i used online chat and tweeted a couple days ago. i have not received an email.
Wrong Item Received,288075,288087,184646,@AmazonHelp still i am waiting for your courier  partner to handover the wrong product . very irresponsible attitude of @115850,@amazonhelp still i am waiting for your courier  partner to handover the wrong product . very irresponsible attitude of @115850
Wrong Item Received,1494751,1494754,467065,@AmazonHelp Received wrong product for 5th time for the same order,@amazonhelp received wrong product for 5th time for the same order
Wrong Item Received,2907890,2907890,805146,@115821 please explain to me why I have been mailed the wrong item twice. Then was given a credit and that credit was not accurate #mad,@115821 please explain to me why i have been mailed the wrong item twice. then was given a credit and that credit was not accurate #mad
Wrong Item Received,2890516,2890520,228064,"@115830 And, to add insult to injury, the wrong item was sent. I ordered a 600mm rule, but got a 300mm rule. It is going to cost me more to send it back than the item is worth.","@115830 and, to add insult to injury, the wrong item was sent. i ordered a 600mm rule, but got a 300mm rule. it is going to cost me more to send it back than the item is worth."
Wrong Item Received,1115301,1115301,383180,@115850 Amazon send me wrong order..already complained by app. Amazon agree to take original back but not doing as promised.,@115850 amazon send me wrong order..already complained by app. amazon agree to take original back but not doing as promised.
Damaged or Defective Item,1349110,1349110,434618,"@AmazonHelp Firestick remote is broken, normally use the app but had to update WiFi router so now no access to settings, replacement (1/2)","@amazonhelp firestick remote is broken, normally use the app but had to update wifi router so now no access to settings, replacement (1/2)"
Damaged or Defective Item,2526227,2526227,719310,"@115821 Just had a terrible experience with customer service. The online chat was filled with typos, some broken English, and a poorly followed script. Very disappointed and further questioning Prime sub. Anyone else see things go downhill in the last couple years?","@115821 just had a terrible experience with customer service. the online chat was filled with typos, some broken english, and a poorly followed script. very disappointed and further questioning prime sub. anyone else see things go downhill in the last couple years?"
Damaged or Defective Item,461207,461208,224589,"@AmazonHelp Yes, but not all of my order is broken, just 2/5. How can I exchange 2?","@amazonhelp yes, but not all of my order is broken, just 2/5. how can i exchange 2?"
